# vertex,pagerank
3325,0.000697839
3326,0.0004834789
3327,0.0003660908
3328,0.0006858468
3329,0.000983685
3330,0.0003665176
3331,0.0008189104
3332,0.000490465
3333,0.0003298988
3335,0.0010244248
3336,0.0011386877
3337,0.0003548187
3338,0.0005227935
3339,0.0008484014
334,0.0019151916
3340,0.0005931916
3341,0.0007392381
3342,0.0005531938
3343,0.0006722834
3344,0.000712134
3345,0.0006777023
3346,0.0009717708
3347,0.0007257106
3348,0.0006855986
3349,0.0014554368
335,0.0019696113
3350,0.000992023
3351,0.000781882
3352,0.0003435254
3353,0.0006631132
3354,0.0009209257
3355,0.0005919986
3356,0.0007063416
3357,0.0007908058
3358,0.0005316719
3359,0.0005546836
336,0.0019997696
3360,0.0010908376
3361,0.0009542838
3362,0.000772647
3363,0.0005650316
3364,0.0011125118
3365,0.000795542
3366,0.0008308887
3367,0.0009379314
3368,0.0011245199
3369,0.0005065744
337,0.001587347
3370,0.0007136746
3371,0.0006115943
3372,0.0009909734
3373,0.0010236845
3374,0.0013661447
3375,0.0005841072
3376,0.0007953845
3377,0.0007825724
3378,0.0008302458
3379,0.0006623388
3381,0.0007460294
3382,0.0011076917
3383,0.0012896921
3384,0.0008376196
3386,0.0007482482
3387,0.000619154
3388,0.0006331671
3389,0.0008332496
339,0.0010084544
3390,0.0007206762
3391,0.0005148879
3392,0.000559819
3393,0.0004306313
3394,0.0003123798
3395,0.0003410839
3396,0.0008653169
3397,0.000850089
3398,0.0010344844
3399,0.0006061445
340,0.0012705752
3400,0.0009971355
3401,0.0005078959
3402,0.00133464
3403,0.0010210837
3404,0.0008323093
3405,0.0006518877
3407,0.0011222737
3408,0.0008516078
3409,0.001611787
341,0.0012769076
3410,0.0008324929
3411,0.0009462379
3412,0.0007602404
3413,0.0007079267
3414,0.0010191479
3415,0.0009028874
3416,0.0010998045
3417,0.000923729
3418,0.001212822
3419,0.0008620008
342,0.0013315463
3420,0.0008526962
3421,0.0004576614
3422,0.0008395775
3423,0.0011099054
3424,0.000511327
3425,0.0006424468
3427,0.0016784114
3428,0.0014654929
3429,0.0016010471
343,0.0013162027
3430,0.0006455026
3431,0.001110127
3432,0.000740516
3434,0.0007588913
3435,0.0015784403
3436,0.0008867448
3437,0.0004201742
3438,0.0007533447
344,0.0012143364
3440,0.0014314938
3441,0.0003720588
3443,0.001575016
3445,0.0004326776
3447,0.0009989669
3449,0.0004732614
345,0.0020199507
3450,0.0001789801
3452,0.0005164959
3453,0.0009119962
3454,0.0007054525
3455,0.0005716608
3456,0.0003440213
3457,0.0005527212
3458,0.0010736603
3459,0.0009700802
346,0.0017984668
3461,0.0009974525
3462,0.0009357432
3463,0.0010943849
3464,0.0006876422
3466,0.0010661221
3467,0.0009325437
3468,0.0001973435
3469,0.0003798891
347,0.0023346136
3472,0.0009242669
3474,0.0007709758
3476,0.000551802
3477,0.0003294256
3478,0.0006927395
3479,0.0005958408
348,0.0020513344
3485,0.0001789801
3486,0.0006914404
3489,0.0003908056
349,0.0016738818
3490,0.0003656348
3491,0.000259072
3492,0.0004157254
3493,0.0005584234
3494,0.0004913118
3495,0.0002340806
3496,0.000454845
3497,0.000511046
3498,0.0002330493
3499,0.0003149575
350,0.0019158502
3500,0.0003248634
3501,0.0003004561
3502,0.0003902909
3503,0.0002666267
3504,0.0003739738
3505,0.0002355918
3506,0.0001789801
3507,0.0008564298
3508,0.0004100612
