# vertex,pagerank
3429,0.001601047
367,0.001597
321,0.00159432
337,0.001587347
3435,0.00157844
3443,0.001575016
502,0.001573378
2022,0.001571134
329,0.001569562
282,0.001568268
276,0.00156524
3093,0.001561451
510,0.001557039
294,0.001552311
390,0.001551008
393,0.00155081
258,0.001549244
3168,0.00153174
318,0.001531116
3107,0.001528479
427,0.001524134
3235,0.001523645
314,0.001523022
3145,0.001520337
243,0.001515965
249,0.001512683
489,0.001507198
3165,0.001506838
308,0.001502596
260,0.001493751
353,0.001490832
137,0.001490689
534,0.001485017
3132,0.001479309
3260,0.00147872
3256,0.001477493
3156,0.001473844
356,0.001473475
3244,0.001470526
3428,0.001465493
290,0.00145928
3349,0.001455437
3259,0.00145376
3173,0.001451347
411,0.001448951
3231,0.001448705
322,0.00144491
404,0.00143909
3440,0.001431494
3175,0.001419291
3143,0.001414268
3092,0.001413906
302,0.001402078
3166,0.001400933
313,0.001397396
3236,0.001377874
3177,0.001376636
242,0.001370885
365,0.001369986
160,0.001366895
3374,0.001366145
512,0.001364636
416,0.001361969
3232,0.001361784
3112,0.001359749
418,0.001353526
232,0.0013525
3087,0.001347091
2009,0.001338632
241,0.001338354
332,0.001338278
3402,0.00133464
3150,0.001332798
342,0.001331546
3064,0.001324335
3135,0.001324001
2017,0.001319978
420,0.001316302
343,0.001316203
3074,0.001310532
3383,0.001289692
437,0.001288955
397,0.001288875
3170,0.001287178
3516,0.001282063
3171,0.001277224
341,0.001276908
3160,0.001276357
3136,0.001275241
340,0.001270575
3243,0.00125937
3139,0.001258986
408,0.001256804
266,0.001253913
270,0.00124774
3119,0.001245599
3113,0.001239148
3178,0.001230913
407,0.001230054
144,0.001226011
291,0.001225101
248,0.001223846
3226,0.001218509
344,0.001214336
3162,0.001213083
3418,0.001212822
3172,0.001211032
3040,0.001208877
3239,0.001208877
400,0.001204623
3238,0.001202156
399,0.001201467
244,0.001200235
3169,0.001190504
3258,0.001186136
3176,0.001177631
3086,0.001176607
354,0.001169945
3083,0.001158611
409,0.001144981
3336,0.001138688
3082,0.001137143
3282,0.001135975
120,0.001135945
3126,0.001135834
331,0.001131208
3161,0.001124712
3368,0.00112452
3407,0.001122274
3101,0.001119058
278,0.001117577
3096,0.001115743
3085,0.001113965
82,0.001113762
3364,0.001112512
3431,0.001110127
3423,0.001109905
3382,0.001107692
436,0.00110446
3305,0.001103695
3416,0.001099805
262,0.001096061
3463,0.001094385
3360,0.001090838
3090,0.001087957
3151,0.001086812
3103,0.001085376
233,0.00108518
3148,0.001081539
3458,0.00107366
3124,0.001070128
3466,0.001066122
3146,0.00106593
3301,0.001065488
3288,0.001057105
364,0.001049535
3110,0.001044705
464,0.001037315
3398,0.001034484
3077,0.001031952
3118,0.001026759
3335,0.001024425
3373,0.001023685
3230,0.001023179
3403,0.001021084
3414,0.001019148
3295,0.001016715
538,0.001013739
3115,0.001010592
339,0.001008454
239,0.001004599
373,0.001002391
3109,0.000999586
3447,0.000998967
271,0.000998897
3461,0.000997453
3400,0.000997136
3314,0.000996068
3180,0.000995334
3116,0.000992998
3350,0.000992023
3372,0.000990973
298,0.000989764
3329,0.000983685
275,0.000978712
372,0.000977204
3222,0.000974004
3346,0.000971771
3459,0.00097008
419,0.000963806
3102,0.000959677
3318,0.00095947
3155,0.000959167
3361,0.000954284
3081,0.000954227
3108,0.000951797
3106,0.00095178
3285,0.000950139
3411,0.000946238
3104,0.000939505
3367,0.000937931
3323,0.000937755
3462,0.000935743
3517,0.000935181
3467,0.000932544
3472,0.000924267
3417,0.000923729
3286,0.000923271
3526,0.000922333
3354,0.000920926
3131,0.000914301
3453,0.000911996
3130,0.000907557
3078,0.000906699
216,0.000905974
3415,0.000902887
3067,0.000887977
3436,0.000886745
3641,0.000874554
3088,0.000871767
3293,0.000871759
3125,0.000865817
3396,0.000865317
3419,0.000862001
3324,0.000860542
3052,0.00086048
289,0.000860195
3117,0.0008588
3507,0.00085643
3073,0.000856182
3182,0.000854077
3307,0.000853791
3420,0.000852696
3408,0.000851608
3397,0.000850089
3321,0.000849929
3339,0.000848401
3094,0.000844018
3312,0.000842837
3121,0.000842557
3298,0.000841517
3422,0.000839578
3290,0.00083857
3384,0.00083762
3100,0.000835338
245,0.000834229
3389,0.00083325
3071,0.00083284
3410,0.000832493
3404,0.000832309
3122,0.000831282
3366,0.000830889
3378,0.000830246
3068,0.000827757
3319,0.000825846
3289,0.000823999
3530,0.000821498
3315,0.000821316
3331,0.00081891
3320,0.000817535
3042,0.000817074
443,0.000814419
3308,0.00081439
3079,0.000810959
3144,0.000808817
3300,0.000805994
3066,0.000799368
3055,0.000799217
421,0.00079859
3365,0.000795542
3376,0.000795385
3515,0.00079275
3049,0.000791115
3357,0.000790806
3221,0.000788681
3080,0.000787118
3377,0.000782572
3304,0.00078254
3351,0.000781882
3616,0.000776297
3362,0.000772647
3157,0.000771147
3474,0.000770976
3091,0.000767043
3058,0.00076544
3292,0.000762271
3529,0.00076179
3412,0.00076024
3152,0.00075934
3434,0.000758891
